Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC SITIO DAS ARAUCARIAS,53005791,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"CAIXA POSTAL COMUNITARIA RODOVIA DF-440, KM 10 - NUCLEO RURAL DE SOBRADINHO, VC 257 ROTA DO CAVALO. SOBRADINHO. 73271-990 Brasília - DF.",(61) 31018851,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6980284,-47.7429992
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC SONHEM DE CIMA,53005805,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-205, PA CONTAGEM. SETOR HABITACIONAL FERCAL SOBRADINHO. 73151-010 Brasília - DF.",(61) 992171382,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.5074971,-47.845489
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EDUCANDARIO EURIPEDES BARSANULFO,53005813,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 4 AREA ESPECIAL, 03 SOBRADINHO. 73025-032 Brasília - DF.",(61) 33874626,Privada,Filantrópica,Sim,Sim,Entre 501 e 1000 matrículas de escolarização,Educação Infantil,,-15.6550047,-47.7961498
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEE 01 DE SOBRADINHO,53005848,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 14, AREA ESPECIAL 05. SOBRADINHO. 73050-140 Brasília - DF.",(61) 39014104,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,"Atendimento Educacional Especializado, Atividade Complementar",-15.6502949,-47.7789692
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INST EDUCACIONAL SANTO ELIAS,53005899,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QUADRA 11, AREA ESPECIAL 03. SOBRADINHO. 73040-110 Brasília - DF.",(61) 34539650,Privada,Filantrópica,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.64566033,-47.78779023
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INST SAO JOSE,53005910,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 4 AREA ESPECIAL, 01 AREA ESPECIAL. SOBRADINHO. 73025-040 Brasília - DF.",(61) 34875258,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.6544486,-47.7973195
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI 01 DE SOBRADINHO,53005929,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 2 RUA 01 AREA ESPECIAL, SOBRADINHO. 73015-100 Brasília - DF.",(61) 30555674,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.66020833,-47.80561833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI 02 DE SOBRADINHO,53005937,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 3, AREA ESPECIAL S/N. SOBRADINHO. 73030-030 Brasília - DF.",(61) 31018819,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-15.6515545,-47.8088337
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL APROVACAO GENIO,53005945,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA RIO GRANDE DO NORTE QUADRA 69 B, 0712 A 14 SETOR TRADICIONAL PLANALTINA. 73330-089 Brasília - DF.",(61) 33884359,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.62703511,-47.65634437
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CAIC ASSIS CHATEAUBRIAND,53005953,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"VIA NS 02 AREA ESPECIAL 4, SETOR RESIDENCIAL LESTE PLANALTINA. 73357-080 Brasília - DF.",(61) 39014356,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.618146,-47.6421751
