Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 306 DO RECANTO DAS EMAS,53009860,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 306, 06 AVENIDA MONJLO LOTE. RECANTO DAS EMAS. 72621-300 Brasília - DF.",(61) 34109470,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-15.9187275,-48.0971463
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 403 DE SANTA MARIA,53009878,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QR 403, 0 LOTE A AREA ESPECIAL. SANTA MARIA SUL. 72503-700 Brasília - DF.",(61) 33182175,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-16.0378062,-48.0265671
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL ELITE GAMA,53009916,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QI 01 LT 20, LJ. C. SETOR LESTE INDUSTRIAL. 72445-010 Brasília - DF.",(61) 35560961,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL PRESBITERIANO MACKENZIE - BRASILIA,53009940,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SHIS QI 5 CHACARA, 74 CHACARA. SETOR DE HABITACOES INDIVIDUAIS SUL. 71600-610 Brasília - DF.",(61) 21069000,Privada,Confessional,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.8502319,-47.8958826
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C OLIMPICO DE ENSINO,53009967,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA SAO PAULO QUADRA 49, 14 SETOR TRADICIONAL PLANALTINA. 73330-010 Brasília - DF.",(61) 33891392,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.6207056,-47.6566558
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DO PEQUENO POLEGAR,53009975,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SHIS QI 5 CHACARAS 92 A 99, 96 LAGO SUL DF. SETOR DE HABITACOES INDIVIDUAIS SUL. 71600-640 Brasília - DF.",(61) 32481217,Privada,Filantrópica,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.84980833,-47.88979
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL DELTA,53009983,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QUADRA 1 CONJUNTO F, 21 SETOR RESIDENCIAL LESTE PLANALTINA. 73350-106 Brasília - DF.",(61) 33895076,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6135148,-47.6458792
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED 416 DE SANTA MARIA-CCMDF,53010000,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQ 416/516, S/N AREA ESPECIAL LOTE A. SANTA MARIA. 72546-330 Brasília - DF.",(61) 33182183,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-16.0162402,-47.9931464
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED 619 DE SAMAMBAIA,53010019,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QR 619, 01 AREA ESPECIAL. SAMAMBAIA NORTE SAMAMBAIA. 72333-100 Brasília - DF.",,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.8791172,-48.1225404
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 504 DE SAMAMBAIA,53010027,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QN 504 CONJ. 09, 01 CONJUNTO 09 LOTE 01. SAMAMBAIA SUL SAMAMBAIA. 72310-600 Brasília - DF.",(61) 33182457,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-15.8822751,-48.0781721
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 512 DE SAMAMBAIA,53010060,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QN 512 CONJUNTO 6 AREA ESPECIAL, SAMAMBAIA SUL SAMAMBAIA. 72312-706 Brasília - DF.",(61) 33182490,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-15.8788438,-48.0681811
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO E MARIA - ESC DE EDUC INTEGRAL,53010078,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QE 13 CONJUNTO E, 01 GUARA II. 71050-050 Brasília - DF.",(61) 35682508,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.82554046,-47.97994071
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SEMPRE MAT E PRE-ESC,53010221,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SHIN QI 9 CONJUNTO 1, 28 CASA. SETOR DE HABITACOES INDIVIDUAIS NORTE. 71515-210 Brasília - DF.",(61) 33685090,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.74427,-47.84913
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE LOGOS,53010264,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QN 508 CONJUNTO 4 LOTE, 05 SAMAMBAIA SUL SAMAMBAIA. 72312-204 Brasília - DF.",(61) 33588610,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.8809292,-48.0749014
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA INFINITESIMAL LTDA,53010426,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AE 02 SETOR D SUL, TAGUATINGA SUL. 72020-000 Brasília - DF.",(61) 33521003,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.8424831,-48.0503543
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C DE ENS EBENEZER - CENEB,53010450,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNM 3, 25/33 LOTES 26/28. CEILANDIA SUL CEILANDIA. 72215-030 Brasília - DF.",(61) 33718686,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.8255754,-48.104707
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL RENASCENCA,53010507,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SGAN - QD 914 CONJUNTO B PARTE, ASA NORTE. 70790-142 Brasília - DF.",(61) 32736284,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.7487246,-47.9016001
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL CENEB KIDS,53010515,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNN 4 CONJUNTO B LOTE, 7/9 CEILANDIA SUL CEILANDIA. 72220-040 Brasília - DF.",(61) 33722794,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.82483167,-48.105485
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEAP - CED APRENDIZ,53010604,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNL 6 CONJUNTO A, 17 TAGUATINGA NORTE TAGUATINGA. 72155-601 Brasília - DF.",(61) 30451393,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.8285535,-48.0778088
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC DE EDUC INF ALZIRO ZARUR,53010612,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 915, 74 CASA. ASA SUL. 70390-150 Brasília - DF.",(61) 34106027,Privada,Filantrópica,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-15.8231372,-48.0288521
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO TECNICO DE EDUCACAO DE BRASILIA-SOBRADINHO II,53010620,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AR 19 CONJUNTO 02 LOTE 08 SOBRADINHO II, SOBRADINHO II. 73063-002 Brasília - DF.",(61) 34851515,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-15.64296,-47.81756
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL LUMNI,53010639,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 2 CONJUNTO C/D LOTE, E SOBRADINHO. 73015-380 Brasília - DF.",(61) 35910235,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.6558063,-47.7936027
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC INF RAIO DE SOL,53010671,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNO 6 CONJUNTO I LOTE, 01 CEILANDIA NORTE CEILANDIA. 72251-609 Brasília - DF.",(61) 33740163,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,-15.7878,-48.12155
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC PRESBITERIANA DO GAMA,53010728,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AREA ESPECIAL LADO LESTE, MODULOS 30/31, ANEXO. SETOR CENTRAL GAMA. 72405-135 Brasília - DF.",(61) 33849155,Privada,Confessional,Não,Em Tramitação,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-16.021403,-48.0610734
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEE 01 DO GUARA,53010744,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QE 20 AREA ESPECIAL A, GUARA I. 71015-017 Brasília - DF.",(61) 33182291,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,"Atendimento Educacional Especializado, Atividade Complementar",-15.8190631,-47.985892
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL ESPU,53010760,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNE 5, 18 18. TAGUATINGA NORTE TAGUATINGA. 72125-050 Brasília - DF.",(61) 35628402,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.8166753,-48.0662149
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CEPROM,53010841,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DO CAIC, 101 CENTRO - SAO SEBASTIAO. 71691-047 Brasília - DF.",(61) 33352232,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.89990667,-47.77205667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EVANGELICA RECANTO DO CEU,53010914,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"CL 302 CONJUNTO D3 E D4, SANTA MARIA. 72501-100 Brasília - DF.",(61) 41036336,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE MILLENIUM,53010949,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QUADRA 17, AREA ESPECIAL 1. SOBRADINHO. 73045-170 Brasília - DF.",(61) 34875010,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6401583,-47.775705
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL PROJECAO SOBRADINHO,53010973,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QUADRA 14 AREA ESPECIAL, 21 SOBRADINHO. 73050-140 Brasília - DF.",(61) 35914838,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.65042912,-47.7829495
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CIL DO GUARA,53010981,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QE 7 LT Q AREA ESPECIAL, GUARA I. 71020-007 Brasília - DF.",(61) 33182294,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.81583,-47.978495
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CANTINHO MAGICO,53010990,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SHIS QI 26 CHACARAS 29, 29 SETOR DE HABITACOES INDIVIDUAIS SUL. 71670-750 Brasília - DF.",(61) 33672171,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.82806833,-47.811935
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ACAO SOCIAL PAULA FRASSINETTI,53011007,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 911 CONJUNTO B1, ASA NORTE. 70790-110 Brasília - DF.",(61) 32740823,Privada,Filantrópica,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.7586489,-47.9004229
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC RIACHO FUNDO,53011015,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"GRANJA MODELO RIACHO FUNDO, DF075-EPNB RIACHO FUNDO II. 71881-661 Brasília - DF.",(61) 33182392,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.8868086,-48.0451868
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED 02 DO RIACHO FUNDO,53011023,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 07 AREA ESPECIAL, 12 RIACHO FUNDO I. RIACHO FUNDO I. 71805-740 Brasília - DF.",(61) 35537956,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.8834439,-48.019722
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM 01 DE SAO SEBASTIAO,53011031,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 203 AREA ESPECIAL S/N, RESIDENCIAL OESTE. 71692-641 Brasília - DF.",(61) 39017707,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-15.90167065,-47.77937788
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF DO BOSQUE,53011040,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 8, 02 AREA INSTITUCIONAL 2. RESIDENCIAL DO BOSQUE SAO SEBASTIAO. 71694-008 Brasília - DF.",(61) 39017686,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.9052962,-47.7563901
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CR CRUZ DE MALTA SAO JOAO BATISTA DE JERUSALEM,53011058,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SEPN 507 BLOCO C PARTE S/N CRECHE, 03 ASA NORTE. 70740-523 Brasília - DF.",(61) 32748015,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.7674342,-47.8893482
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED 104 DO RECANTO DAS EMAS,53011066,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 104 CONJUNTO 11-A - AREA ESPECIAL, 01 LOTE. RECANTO DAS EMAS. 72600-412 Brasília - DF.",(61) 34109459,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-15.90066873,-48.07115617
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL MARISTA JOAO PAULO II,53011074,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 702 CONJUNTO B, ASA NORTE. 70710-700 Brasília - DF.",(61) 34264600,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.7819399,-47.8881862
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CRISTA PEDRAS VIVAS,53011112,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 2 CONJUNTO B/C LOTE D, -------- LOTE D. SOBRADINHO. 73015-280 Brasília - DF.",(61) 33878674,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CMSS COL MODELO SAO SEBASTIAO,53011120,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA 9 QUADRA 01- CONJUNTO A CHACARA, 07 VILA NOVA SAO SEBASTIAO. 71693-111 Brasília - DF.",(61) 33351021,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.9038227,-47.7621084
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE APICE,53011228,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNM 25, LOTE 17 CONJUNTO C. CEILANDIA SUL CEILANDIA. 72215-250 Brasília - DF.",(61) 33713317,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.83581,-48.09227
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC PICA-PAU,53011279,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QUADRA 23 CONJUNTO I, 1,2 LOTE. PARANOA. 71572-309 Brasília - DF.",(61) 33693053,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.7673907,-47.7807958
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUNDO MAGICO DO SABER,53011295,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QE 28 CONJUNTO A, 16/18 GUARA II. 71060-012 Brasília - DF.",(61) 35689284,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.83751446,-47.98486228
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CANTINHO CRISTAO,53011309,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"EQ 30/32, CONJ A AREA ESPECIA. GUARA II. 71065-305 Brasília - DF.",(61) 35689330,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.84520411,-47.97954001
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CIL DO GAMA,53011350,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA EQ 16/18, SETOR CENTRAL GAMA. 72405-165 Brasília - DF.",(61) 39018111,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-16.0179945,-48.0679805
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,REDE DE ENSINO CERTO,53011368,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SETOR D SUL AREA ESPECIAL RESERVADA, 06 TAGUATINGA SUL TAGUATINGA. 72020-000 Brasília - DF.",(61) 33526633,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.8431529,-48.05215211
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL EDUCRIARTE,53011449,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNA 36, LOTE 01. TAGUATINGA NORTE TAGUATINGA. 72110-360 Brasília - DF.",(61) 33515333,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.8224567,-48.058772
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE CASTELO ENCANTADO,53011457,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNG 3, 28 TAGUATINGA NORTE TAGUATINGA. 72130-030 Brasília - DF.",(61) 33543586,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.79910522,-48.06081024
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF NOSSA SENHORA FATIMA,53011490,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"AREA AREA ESPECIAL 1, VILA NOSSA SENHORA DE FATIMA PLANALTINA. 73340-791 Brasília - DF.",(61) 39014457,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-15.6032041,-47.6579028
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 209 DE SANTA MARIA,53011503,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA CL 209 BLOCO A, S.N. SANTA MARIA. 72509-221 Brasília - DF.",(61) 33182169,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-16.0217564,-48.024219
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 218 DE SANTA MARIA,53011511,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"EQ 28/318 AREA ESPECIAL J, 218/318 SANTA MARIA. SANTA MARIA. 72548-226 Brasília - DF.",(61) 39016617,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-16.0072686,-47.9876283
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED DARCY RIBEIRO,53011520,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 31 CONJUNTO F, S/N AREA ESPECIAL. PARANOA. 71573-106 Brasília - DF.",(61) 39017564,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.7626635,-47.7831412
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 519 DE SAMAMBAIA,53011562,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QR 519, QS 519 AREA ESPECIAL 1. SAMAMBAIA SUL SAMAMBAIA. 72315-300 Brasília - DF.",(61) 34266725,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.8970352,-48.1152536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 30 DE CEILANDIA,53011589,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RUA 1- AREA ESPECIAL FRENTE-MODULO 7, S/N CONDOMINIO PRIVE. CONDOMINIO PRIVE LUCENA RORIZ CEILANDIA. 72280-100 Brasília - DF.",(61) 39013162,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7859205,-48.1379643
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 427 DE SAMAMBAIA,53011597,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QN 427, 33182456 AREA ESPECIAL 02. SAMAMBAIA NORTE SAMAMBAIA. 72327-540 Brasília - DF.",(61) 33182456,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-15.8921888,-48.1386344
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 206 DO RECANTO DAS EMAS,53011600,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 206 LOTE, 02 CONJUNTO 02. RECANTO DAS EMAS. 72610-600 Brasília - DF.",(61) 34109467,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-15.90604667,-48.06898
